#	THĂNG
$	ĐỒNG
SERGEY	XÉT GÂY
SERI	SÊ RI
SERIE	SÊ RI
SERIES	SÊ RI
SERVER	SƠ VƠ
SERVICE	SỚ VỊT
SEVILLA	XÊ VI LA
SEYMOUR	SÂY MO
SGDCK	SỞ GIAO DỊCH CHỨNG KHOÁN
SGDVL	SÀN GIAO DỊCH VIỆC LÀM
SGGP	SÀI GÒN GIẢI PHÓNG
SGK	SÁCH GIÁO KHOA
SGNT	SÀI GÒN NHẬT THỰC
SGTT	SÀI GÒN TÍÊP THỊ
SGTVT	SỞ GIAO THÔNG VẬN TẢI
SGV	SÁCH GIÁO VIÊN
SHADR	SA ĐỜ RƠ
SHAFRAN	SA PHỜ RAN
SHAFTESBURY	SÉP TƠ BƠ RI
SHAH	SA
SHAKESPEAE	SÁCH BIA
SHAKESPEARE	SẾCH XỜ BI A
SHAKHMATOV	SA KHƠ MA TỐP
SHAKIRA	SA KI RA
SHALA	SA LA
SHALJAPIN	SA LI A BIN
SHAN	SAN
SHANGHAI	SANG HAI
SHANNON	SAN NƠN
SHAPORIN	SA BÔ RIN
SHAR	SA RƠ
SHARAPOVA	SA RA BÔ VA
SHARCHOPS	SA CHÓP
SHARI	SA RI
SHARON	XE RON
SHARP	SÁP
SHATT	SÁT
SHAW	SÔ
SHAWLOW	SO LÂU
SHBANK	ÉT HÁT BEN
SHBD	SỐ HIỆU BẢN ĐỒ
SHCHEDRIN	SÊ ĐỜ RIN
SHCN	SỞ HỮU CÔNG NGHIỆP
SHEARER	SIA RƠ
SHEBELE	SÊ BÊ LÊ
SHEFFIELD	XÉP PHIU
SHELDON	SEO ĐÂN
SHELL	SEO
SHELLEY	SE LI
SHEMJAKIN	SÊ MI A KIN
SHEPARD	SÊ BÁT
SHERATON	SE RA TÂN
SHERIDAN	SE RI ĐÂN
SHERINGHAM	SE RING HAM
SHETLAND	SÉT LEN
SHEVA	SE VA
SHEVCHENKO	SÉT CHEN CÔ
SHH	SINH HÓA HỌC
SHI	SI
SHICK	SÍCH
SHIFT	SÍP
SHIGEFUMI	SI GHÊ PHU MI
SHIITE	SÍT
SHIKOKU	SI CÔ CU
SHILKA	SIN CA
SHILOH	SI LO
SHINAWATRA	XIN NA QUA TRA
SHINZO	XIN DÔ
SHIO	SI Ô
SHIRE	SI RÊ
SHISEIDO	SI XÊ ĐÔ
SHIVA	SI VA
SHIZUOKA	SI GIU Ô CA
SHNITKE	SỜ NÍT KE
SHNN	SỞ HỮU NHÀ NƯỚC
SHOCK	SỐC
SHOCKLEY	SỐC LY
SHOGUN	SÔ GUN
SHOLOKHOV	SÔ LÔ KHỐP
SHOPAS	SÔ BÁT
SHOPPING	XỐP BING
SHORT	SỌT
SHOSTAKOVICH	SỐT TA CÔ VÍCH
SHOW	SÔ
SHOWBIZ	SÔ BÍT
SHOWROOM	SÔ RUM
SHPT	SINH HỌC PHỔ THÔNG
SHTERNBERG	SỜ TƠN BỚT
SHTT	SỞ HỮU TRÍ TUỆ
SHUBIN	SU BIN
SHUKHOV	SU KHỐP
SHUKSHIN	SÚC SIN
SHUSHENSKAJA	SU SEN XỜ CAI A
SHWE	SU Ê
SHWEZIGON	SU Ê GI GÔN
SHZCHERBA	SÉC BA
SIBERIA	SI BÊ RI A
SIDE	SAI
SIDNEY	SÍT NY
SIEMENS	SI MEN
SIENA	SI Ê NA
SIENNA	SI EN NA
SIHAMONI	SI HA MÔ NI
SILAT	SI LÁT
SILICON	SI LI CON
SILVA	SIN VA
SILVER	SIN VƠ
SILVIO	SIN VI Ô
SIMAO	SI MAO
SIMON	SI MÂN
SIMONE	SI MÔ NÊ
SIMPSON	SIM SẦN
SINA	SI NA
SING	SING
SINGAPOE	SING GA BO
SINGAPORE	SING GA BO
SINGLE	SING GỒ
SINHANCO	SIN HAN CÔ
SIR	SƠ
SIRO	SI RÔ
SITCOM	XÍT COM
SITE	SAI
SIZE	SAI
SK	SÂN KHẤU
SKBMTE	SỨC KHỎE BÀ MẸ TRẺ EM
SKCĐ	SỨC KHOẺ CỘNG ĐỒNG
SKCT	SÁNG KIẾN CẢI TIẾN
SKCTKT	SÁNG KIẾN CẢI TIẾN KỈ THUẬT
SKĐ	SỔ KIỂM ĐỊNH
SKĐA	SÂN KHẤU ĐIỆN ẢNH
SKHĐT	SỞ KẾ HOẠCH ĐẦU TƯ
SKKN	SÁNG KIẾN KINH NGHIỆM
SKLĐ	SỨC KHỎE LAO ĐỘNG
SKMT	SỨC KHỎE MÔI TRƯỜNG
SKSS	SỨC KHOẺ SINH SẢN
SKST	SÁNG KIẾN SÁNG TẠO
SKTD	SỨC KHỎE TÌNH DỤC
SKTT	SỨC KHỎE TINH THẦN
SKV	SAI KHỚP VAI
SKY	XỜ CAI
SLAM	LEM
SLAVIA	XỜ LA VI A
SLĐTBXH	SỞ LAO ĐỘNG THƯƠNG BINH XÃ HỘI
SLL	SỐ LƯỢNG LỚN
SLN	SỐ LƯỢNG NHỎ
SLNA	SÔNG LAM NGHỆ AN
SLOGAN	XỜ LÔ GÂN
SLOVAKIA	SỜ LÔ VA CI A
SLOVENIA	XỜ LÔ VE NHA
SLUKHOCKIJ	SỜ LU KHỐT XỜ KI
SLV	SỐ LƯỢNG VỪA
SMĐ	SAO MAI ĐIỂM
SMĐH	SAO MAI ĐIỂM HẸN
SMH	SỐ MẶT HÀNG
SMILE	XỜ MAI
SMITH	XỜ MÍT
SMMT	SƠN MÀI MỸ THUẬT
SMN	SƠ MI NGẮN
SNEIJDER	XỜ NAI ĐƠ
SNN	SỞ NÔNG NGHIỆP
SNOW	XỜ NÔ
SNV	SỞ NỘI VỤ
SOCCER	SÔ CÔ LA
SOCIEDAD	SÔ SI Ê ĐÁT
SOCIETY	SÔ SAI Ơ TY
SOCOLA	SÔ CÔ LA
SOFA	SÔ PHA
SOFIA	SÔ PHI A
SOFITEL	SÔ PHI TEO
SOLANA	SÔ LA NA
SOLARI	SÔ LA RI
SOLO	SÔ LÔ
SOLOMON	SÔ LÔ MÔNG
SOLSKJAER	SÔN CAI Ơ
SOLUTIONS	SỒ LU SẦN
SOMALI	SÔ MA LI
SOMALIA	SÔ MA LY
SOMMER	SOM MƠ
SONY	SO NY
SOPHIA	SÔ PHI A
SOPHIE	SÔ PHI
SOUL	SÔ
SOUTH	SAO
SOUTHAMPTON	SAO THAM TÂN
SOYUZ	SÔ DÚT
SP	SƯ PHẠM
SPACE	XỜ BÂY
SPALLETTI	XỜ BA LÉT TI
SPCN	SẢN PHẨM CÔNG NGHIỆP
SPEARS	XỜ BIA
SPENCER	SỜ BEN XƠ
SPENGLER	SỜ BEN LƠ
SPHH	SẢN PHẨM HÀNG HOÁ
SPHN	SƯ PHẠM HÀ NỘI
SPICE	XỜ BAI
SPITSBERGEN	SỜ BÍT BÉC GHEN
SPKT	SƯ PHẠM KỸ THUẬT
SPOHR	SỜ BO RƠ
SPORT	XỜ BÓT
SPORTING	XỜ BÓT TING
SPORTS	XỜ BÓT
SPST	SẢN PHẨM SINH THÁI
SQLQ	SĨ QUAN LỤC QUÂN
SRILANKA	XỜ RI LAN CA
SRKST	SỐT RÉT KÝ SINH TRÙNG
SRKSTCT	SỐT RÉT KÝ SINH TRÙNG CÔN TRÙNG
SSCĐ	SẴN SÀNG CHIẾN ĐẤU
STAL	SỜ TAN
STAMFORD	TEM PHÓT
STANDARD	XỜ TEN ĐA
STANFORD	TEN PHÓT
STANKOVIC	XỜ TAN CÔ VÍCH
STANLEY	XỜ TEN LY
STARK	SỜ TÁC
STAUDINGER	SỜ TAU ĐIN GƠ
STBTH	SÁCH THIẾT BỊ TRƯỜNG HỌC
STDM	SIÊU THỊ ĐIỆN MÁY
STĐT	SINH THÁI ĐÔ THỊ
STEINER	SỜ TAI NƠ
STEINITZ	SỜ TAI NÍT
STEPHANIE	XỜ TE PHẦN NY
STEPHEN	XỜ TI PHÂN
STEVEN	XỜ TI VÂN
STEVENS	TI VẦN
STEWART	XỜ TI QUÁT
STHS	SƠ THẨM HÌNH SỰ
STIEGLITZ	SỜ TI GỜ LÍT
STIELTJES	SỜ TIN TI ÉT
STINNES	SỜ TI NÉT
STIRNER	SỜ TIẾC NƠ
STKTN	SÁCH THAM KHẢO TRẮC NGHIỆM
STMT	SUY THẬN MÃN TÍNH
STOCKHAUSEN	SỜ TỐC KHAU SEN
STOCKHOLM	XỜ TỐC HÔM
STONES	XỜ TON
STORY	XỜ TO RY
STQC	SANG THƯƠNG QUANH CHÓP
STRASSMAN	SỜ TƠ RÁT MAN
STREET	XỜ TRÍT
STT	SỐ THỨ TỰ
STTC	SIÊU THỊ TÌNH CẢM
STTK	SỢI TRỤC THẦN KINH
STTN	SỬ THI TÂY NGUYÊN
STTT	SINH THIẾT TỨC THÌ
STUTTGART	TÚT GÁT
STUTTGAT	TÚT GA
STYLE	SÌ TAI
SUDAN	XU ĐĂNG
SUDOKU	SU ĐU CU
SUHARTO	SU HA TÔ
SUHATO	SU HA TÔ
SUN	SƠN
SUNDANCE	XU ĐĂNG
SUNDAY	SÂN ĐÂY
SUNDERLAND	SÂN ĐƠ LEN
SUNNI	SÂN NY
SUNNY	SÂN NY
SUNSHINE	SÂN SAI
SUNWAY	SÂN QUAY
SUPER	SÚP BƠ
SURAKIART	SU RA KI ÁT
SURAYUD	SU RA DÚT
SURI	SU RI
SUSAN	SU SAN
SUSHI	SU SI
SUSILO	SU SI LÔ
SUZUKI	SU GIU KI
SV	SINH VIÊN
SVBC	SINH VIÊN BÁO CHÍ
SVD	SÂN VẬN ĐỘNG
SVĐ	SÂN VẬN ĐỘNG
SVĐH	SINH VIÊN ĐẠI HỌC
SVĐQG	SÂN VẬN ĐỘNG QUỐC GIA
SVĐTT	SÂN VẬN ĐỘNG TRUNG TÂM
SVĐV	SAO VÀNG ĐẤT VIỆT
SVH	SINH VIÊN HỘI
SVHS	SINH VIÊN HỌC SINH
SVHTT	SỞ VĂN HÓA THÔNG TIN
SVNCKH	SINH VIÊN NGHIÊN CỨU KHOA HỌC
SVNN	SINH VIÊN NƯỚC NGOÀI
SVT	SIÊU VI TRÙNG
SVTN	SINH VIÊN TÌNH NGUYỆN
SVVN	SINH VIÊN VIỆT NAM
SX	SẢN XUẤT
SXBB	SẢN XUẤT BAO BÌ
SXCN	SẢN XUẤT CÔNG NGHIỆP
SXD	SỞ XÂY DỰNG
SXH	SỐT XUẤT HUYẾT
SXKD	SẢN XUẤT KINH DOANH
SXNN	SẢN XUẤT NÔNG NGHIỆP
SXSH	SẢN XUẤT SẠCH HƠN
SXTĐ	SẢN XUẤT TRỌNG ĐIỂM
SXVLXD	SẢN XUẤT VẬT LIỆU XÂY DỰNG
SXXK	SẢN XUẤT XUẤT KHẨU
SXXNK	SẢN XUẤT XUẤT NHẬP KHẨU
SXXNKBD	SẢN XUẤT XUẤT NHẬP KHẨU BÌNH DƯƠNG
SYDNEY	SÍT NY
SYLVIA	SIN VI A
SYMBIAN	SIM BI AN
SYRI	SI RY
SYRIA	SI RI A
SYSTEM	SÍT TẦM
SYSTEMS	SÍT TẦM
SZYMANOWSKI	SI MA NỐP XỜ KI
T	TÊ
TAB	TÁP
TABINSHWETI	TA BIN SU Ê TI
TABINSWETI	TA BIN SU Ê TI
TABOR	TA BO RỜ
TABRIZ	TA BỜ RÍT
TACN	THỨC ĂN CHĂN NUÔI
TADJOURA	TÁT GIU RA
TADN	TIẾNG ANH DOANH NGHIỆP
TAĐP	THỨC ĂN ĐƯỜNG PHỐ
TAEGU	TA E GU
TAFT	TÁP TƠ
TAGANROG	TA GAN RỐC
TAGAR	TA GA
TAGLIONI	TA LI Ô NI
TAGORE	TA GO
TAGPOCHAU	TA BÔ CHAU
TAHA	TA HA
TAHAT	TA HÁT
TAHITI	TA HI TI
TAHUANTINSUYU	TA HU AN TIN SUY U
TAINE	TEN
TAIPA	TAI BA
TAJGA	TAI GA
TAJIKISTAN	TA DI KÍT TĂNG
TAJMYR	TAI MƯA
TAJUMULCO	TA GIU MUN CÔ
TAKAMATSU	TA KA MÁT XƯ
TAKAUJI	TA CAO GI
TAKIZAWA	TA KI GIA QUA
TALABANI	TA LA BA NI
TALEBAN	TA LI BĂNG
TALET	TA LÉT
TALIBAN	TA LI BĂNG
TALLIN	TA LIN
TALYSH	TA LỨT
TAMARA	TA MA RA
TAMAYO	TA MA DÔ
TAMIFLU	TA MIN LU
TAMIL	TA MIN
TAMM	TAM
TAMMANN	TA MAN
TAMPERE	TAM BÊ RÊ
TANA	TA NA
TANAKA	TA NA CA
TAND	TÒA ÁN NHÂN DÂN
TANDTC	TÒA ÁN NHÂN DÂN TỐI CAO
TANDTP	TÒA ÁN NHÂN DÂN THÀNH PHỐ
TANDTPHCM	TÒA ÁN NHÂN DÂN THÀNH PHỐ HỒ CHÍ MINH
TANEEV	TA NÊ ÉP
TANEGASHIMA	TA NÊ GA SI MA
TANEZROUFT	TA NÉT GIỜ RÚP
TANGA	TAN GA
TANGANYIKA	TAN GA NI CA
TANGE	TAN GHÊ
TANGER	TAN GƠ
TANGUY	TAN GHI
TANIZAKI	TA NI GIA KI
TANJUNGPERIUK	TA NI UNG BE RI ÚC
TANNENBERG	TAN NEN BỚT
TANZANIA	TAN GIA NI A
TAPTI	TÁP TI
TAQS	TÒA ÁN QUÂN SỰ
TARA	TA RA
TARAKAN	TA RA KAN
TARAKI	TA RA KI
TARANTO	TA RAN TÔ
TARAWA	TA RA QUA
TARDIEU	TÁC ĐI Ơ
TARFAYA	TÁC PHÂY A
TARIM	TA RIM
TARO	TA RÔ
TARTAGLIA	TÁC TA LI A
TARTINI	TÁC TI NI
TARUTINO	TA RU TI NÔ
TARZAN	TÁC GIĂNG
TASHAN	TA SAN
TASHKENT	TÁT KEN
TASMAN	TÁT MAN
TASMANIA	TÁT MA NI A
TASMANIE	TÁT SỜ MA NI
TASS	TÁT
TASSIGNY	TÁT SI NHI
TASSO	TÁT XÔ
TATA	TA TA
TATAR	TA TA RƠ
TATE	TÂY TƠ
TATLIN	TÁT LIN
TATRAS	TA TRÁT
TATSUMI	TÁT XƯ MI
TAUBE	TÔ BƠ
TAUKUM	TAU CUM
TAUT	TAU TƠ
TAVARES	TA VA RÉT
TAX	TẮC
TAXI	TẮC XI
TAYLO	TAY LO
TAYLOR	TAY LO
TB	THÔNG BÁO
TBBP	TÌNH BẠN BỐN PHƯƠNG
TBBTTN	TRUNG BÌNH BÀI THI TỐT NGHIỆP
TBCN	THIẾT BỊ CÔNG NGHỆ
TBCS	THIẾT BỊ CHIẾU SÁNG
TBD	THÁI BÌNH DƯƠNG
TBĐ	THIẾT BỊ ĐIỆN
TBDĐ	THUÊ BAO DI ĐỘNG
TBDĐTT	THUÊ BAO DI ĐỘNG TRẢ TRƯỚC
TBDH	THIẾT BỊ DẠY HỌC
TBĐT	THUÊ BAO ĐIỆN THOẠI
TBGD	THIẾT BỊ GIÁO DỤC
TBILISI	TỜ BI LI XI
TBKT	THỜI BÁO KINH TẾ
TBKTD	THIẾT BỊ KỸ THUẬT ĐIỆN
TBKTĐ	THIẾT BỊ KỸ THUẬT ĐIỆN
TBKTSG	THỜI BÁO KINH TẾ SÀI GÒN
TBKTVN	THỜI BÁO KINH TẾ VIỆT NAM
TBLĐ	THƯƠNG BINH LAO ĐỘNG
TBLS	THƯƠNG BINH LIỆT SĨ
TBMMN	TAI BIẾN MẠCH MÁU NÃO
TBN	TÂY BAN NHA
TBNN	TRUNG BÌNH NHIỀU NĂM
TBT	TỔNG BÍ THƯ
TBTG	THUÊ BAO TRỌN GÓI
TBTH	THIẾT BỊ TRƯỜNG HỌC
TBTKĐ	THIẾT BỊ TIẾT KIỆM ĐIỆN
TBTT	THUÊ BAO TRẢ TRƯỚC
TBXH	THƯƠNG BINH XÃ HỘI
TBYT	THIẾT BỊ Y TẾ
TCBC	THÔNG CÁO BÁO CHÍ
TCBD	TỔNG CỤC BƯU ĐIỆN
TCBĐ	TỔNG CỤC BƯU ĐIỆN
TCBP	THỪA CÂN BÉO PHÌ
TCBVNTD	TIÊU CHUẨN BẢO VỆ NGƯỜI TIÊU DÙNG
TCC	TIÊU CHẢY CẤP
TCCB	TỔ CHỨC CÁN BỘ
TCCL	TIÊU CHUẨN CHẤT LƯỢNG
TCCN	TRUNG CẤP CHUYÊN NGHIỆP
TCCP	TIÊU CHUẨN CHO PHÉP
TCCQ	TỔ CHỨC CHÍNH QUYỀN
TCCS	TỔNG CỤC CẢNH SÁT
TCCT	TỔNG CỤC CHÍNH TRỊ
TCCVTQT	TRỘM CẮP CƯỚC VIỄN THÔNG QUỐC TẾ
TCD	THẢM CÁCH ĐIỆN
TCĐ	TRANH CỔ ĐỘNG
TCĐC	TỔNG CỤC ĐỊA CHÍNH
TCDL	TỔNG CỤC DU LỊCH
TCĐLCL	TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG
TCDLVN	TỔNG CỤC DU LỊCH VIỆT NAM
TCDN	TÀI CHÍNH DOANH NGHIỆP
TCĐN	TÀI CHÍNH ĐỐI NGOẠI
TCĐS	TỔNG CỤC ĐƯỜNG SẮT
TCĐTCT	TRÒ CHƠI ĐIỆN TỬ CÓ THƯỞNG
TCG	THIÊN CHÚA GIÁO
TCHQ	TỔNG CỤC HẢI QUAN
TCHTQ	TỔNG CÔNG HỘI TRUNG QUỐC
TCKD	TRÒ CHƠI KINH DOANH
TCKH	TẠP CHÍ KHOA HỌC
TCKT	TÀI CHÍNH KẾ TOÁN
TCLĐ	TRANH CHẤP LAO ĐỘNG
TCM	THÀNH CÔNG MỚI
TCMN	THỦ CÔNG MỸ NGHỆ
TCMR	TIÊM CHỦNG MỞ RỘNG
TCMRQG	TIÊM CHỦNG MỞ RỘNG QUỐC GIA
TCN	TIÊU CHUẨN NGÀNH
TCNH	TÀI CHÍNH NGÂN HÀNG
TCNS	TỔ CHỨC NHÂN SỰ
TCPK	TÁC CHIẾN PHÒNG KHÔNG
TCQG	TRƯỜNG CHUẨN QUỐC GIA
TCQT	TÀI CHÍNH QUỐC TẾ
TCSPMN	TRUNG CẤP SƯ PHẠM MẦM NON
TCSS	TRẦM CẢM SAU SINH
TCT	THỐNG CÁP TREO
TCTC	TỔ CHỨC TÀI CHÍNH
TCTCDLCL	TỔNG CỤC TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG
TCTCN	TỔNG CÔNG TY CẤP NƯỚC
TCTCSVN	TỔNG CÔNG TY CAO SU VIỆT NAM
TCTD	TỔ CHỨC TÍN DỤNG
TCTDTT	TỔNG CỤC THỂ DỤC THỂ THAO
TCTK	TỔNG CỤC THỐNG KÊ
TCTL	TÍN CHỈ TÍCH LŨY
TCTNN	TỔNG CÔNG TY NHÀ NƯỚC
TCTS	THÁI CỰC TRƯỜNG SINH
TCTT	TÀI CHÍNH TIỀN TỆ
TCTXDCTGT	TỔNG CÔNG TY XÂY DỰNG CÔNG TRÌNH GIAO THÔNG
TCV	TÌNH CA VIỆT
TCVG	TÀI CHÍNH VẬT GIÁ
TCVN	TIÊU CHUẨN VIỆT NAM
TCVSG	THẢO CẦM VIÊN SÀI GÒN
TCXD	TIÊU CHUẨN XÂY DỰNG
TCXDVN	TIÊU CHUẨN XÂY DỰNG VIỆT NAM
TCYD	TRƯNG CẦU Ý DÂN
TCYTQB	TRUNG CẤP Y TẾ QUẢNG BÌNH
TCYTTG	TỔ CHỨC Y TẾ THẾ GIỚI
TĐ	TỔNG ĐÀI
TĐBK	TỪ ĐIỂN BÁCH KHOA
TĐBKVN	TỪ ĐIỂN BÁCH KHOA VIỆT NAM
TĐBL	THỦY ĐIỆN BẢO LỘC
TĐC	TÁI ĐỊNH CƯ
TĐCNCSVN	TẬP ĐOÀN CÔNG NGHIỆP CAO SU VIỆT NAM
TĐCS	THI ĐUA CHÍNH SÁCH
TDDC	TỰ DO DÂN CHỦ
TĐDM	TẬP ĐOÀN DỆT MAY
TĐDMVN	TẬP ĐOÀN DỆT MAY VIỆT NAM
TDG	TỰ ĐÁNH GIÁ
TĐG	THẪM ĐỊNH GIÁ
TDK	TÂY DU KÝ
TĐKT	TẬP ĐOÀN KINH TẾ
TDLĐ	TUYỂN DỤNG LAO ĐỘNG
TDM	TRÍ ĐẠT MA
TDND	TÍN DỤNG NHÂN DÂN
TDNT	THỂ DỤC NGHỆ THUẬT
TĐSL	THỦY ĐIỆN SƠN LA
TDT	THƯ ĐIỆN TỬ
TDTC	TƯ DUY TÍCH CỰC
TĐTC	TIẾN ĐỘ THI CÔNG
TDTE	TÌNH DỤC TRẺ EM
TĐTH	THIÊN ĐỊA TINH HOA
TDTKC	TÌNH DỤC TỰ KIỀM CHẾ
TDTM	THỂ DỤC THẨM MỸ
TĐTN	TRƯỜNG ĐÀO TẠO NGHỀ
TDTS	TỔNG DIỆN TÍCH SÀN
TDTT	THỂ DỤC THỂ THAO
TĐTVN	TẬP ĐOÀN THAN VIỆT NAM
TDV	TRÌNH DƯỢC VIÊN
TĐV	THẨM ĐỊNH VIÊN
TĐYDBL	TẬP ĐOÀN Y DƯỢC BẢO LONG
TEAM	TIM 
TECH	TÁCH
TECHCOMBANK	TÁCH COM BĂNG
TECHNOCOM	TÁCH NÔ COM
TECHNOLOGIES	TÁCH NÔ LÔ DI
TECHNOLOGY	TÁCH NÔ LÔ DI
TED	TÉT
TEDDY	TÉT ĐY
TEDJEN	TÉT GIEN
TEEN	TIN
TEGLATH	TÊ GỜ LÁT
TEGUCIGALPA	TÊ GU XI GAN BA
TEHERAN	TÊ HÊ RAN
TEHRAN	TÊ HÊ RĂNG
TEHUANTEPEC	TÊ HU AN TÊ BÉC
TEILHARD	TÊ LÁT
TEJO	TÊ GIÔ
TEKE	TÊ KÊ
TEL	TEO
TELECOM	TE LÊ COM
TELEGRAPH	TE LE GỜ RÁP
TELESIO	TÊ LÊ SI Ô
TELLER	TEO LƠ
TELT	TRẺ EM LANG THANG
TEMPLE	TEM BỒ
TENJI	TEN GI
TENNANT	TEN NAN
TENNESSEE	TEN NÉT SI
TEOTEPEC	TÊ Ô TÊ BÉC
TEREK	TÊ RẾCH
TERENGGANU	TÊ RENG GA NU
TERENTIUS	TÊ REN TI ÚT
TERESA	TE RÊ SA
TERESHKOVA	TE RÉT CÔ VA
TERESSA	TÊ RÊ SA
TERI	TE RY
TERMEN	TÉC MEN
TERMEZ	TÉC MÉT
TERPSICHORE	TÉC XI SO RƠ
TERRY	TE RY
TERUEL	TÊ RU EN
TERY	TE RY
TESLA	TÉT SỜ LA
TETHYS	TE TÍT
TETOVO	TÊ TÔ VÔ
TEVERE	TÊ VE RÊ
TEVEZ	TE VÉT
TEVN	TRẺ EM VIỆT NAM
TEXAS	TÁCH GIÁT
TGCC	THẦN GIAO CÁCH CẢM
TGCT	THỜI GIAN CÔNG TÁC
TGD	TỔNG GIÁM ĐỐC
TGĐ	TỔNG GIÁM ĐỐC
TGDĐ	THẾ GIỚI DI ĐỘNG
TGDT	TÔN GIÁO DÂN TỘC
TGGD	TRỊ GIÁ GIAO DỊCH
TGGT	THẾ GIỚI GIẢI TRÍ
TGHM	THẾ GIỚI HOÀN MỸ
TGLX	TỨ GIÁC LONG XUYÊN
TGM	TỔNG GIÁM MỤC
TGN	THIẾT GIÁP NHÂN
TGNS	THẾ GIỚI NGHỆ SĨ
TGNV	THẾ GIỚI NGƯỜI VIỆT
TGPL	TRỢ GIÚP PHÁP LUẬT
TGPN	THẾ GIỚI PHỤ NỮ
TGS	THẾ GIỚI SỐ
TGVH	THẾ GIỚI VĂN HOÁ
TGVL	THẾ GIỚI VÕ LÂM
TGVT	THẾ GIỚI VI TÍNH
TH	TRUYỀN HÌNH
THACKERAY	THA CƠ RAY
THADS	THI HÀNH ÁN DÂN SỰ
THAILAND	THÁI LAN
THAKSIN	THẠT SÌN
THALES	TA LÉT
THALIA	THA LI A
THAMES	THÊM
THANOM	THA NOM
THANT	TAN
THAPT	THI HÀNH ÁN PHẠT TÙ
THAR	THA
THATCHER	THÁT CHƠ
THBC	TRUNG HỌC BÁN CÔNG
THBĐ	TIN HỌC BÌNH ĐỊNH
THBT	TRUNG HỌC BỔ TÚC
THBTVH	TRUNG HỌC BỔ TÚC VĂN HOÁ
THCA	TRUYỀN HÌNH CÔNG AN
THCB	TIN HỌC CƠ BẢN
THCN	TRUNG HỌC CHUYÊN NGHIỆP
THCS	TRUNG HỌC CƠ SỞ
THCSNĐ	THỰC HIỆN CHÍNH SÁCH NHÀ ĐẤT
THCVN	TRUYỀN HÌNH CÁP VIỆT NAM
THĐ	TRẦN HƯNG ĐẠO
THĐH	THƯƠNG HIỆU ĐẠI HỌC
THDL	TIỂU HỌC DÂN LẬP
THDLKT	TRUNG HỌC DÂN LẬP KINH TẾ
THENARD	TÊ NÁT
THEOKRITOS	THÊ Ô CỜ RI TỐT
THERA	THÊ RA
THERMIDOR	TÉC MI ĐÔ
THGT	TÍN HIỆU GIAO THÔNG
THHN	TỔNG HỢP HƯỚNG NGHIỆP
THIBAULT	TI BÔ
THIERRY	THI Ơ RY
THIERS	THI Ê
THKT	THỰC HÀNH KẾ TOÁN
THKTNV	TRUNG HỌC KỸ THUẬT NGHIỆP VỤ
THLV	TÂN HUẤN LUYỆN VIÊN
THNC	TRUNG HOÀ NHÂN CHÍNH
THNS	THƯƠNG HIỆU NÔNG SẢN
THNXC	THÔNG HÀNH NHẬP XUẤT CẢNH
THOM	THOM
THOMAS	THÔ MÁT
THOMSON	THOM SÂN
THONBURI	THON BU RI
THOREZ	TÔ RÊ
THORNDIKE	THON ĐI CƠ
THORVALDSEN	THOÓC VAN XEN
THOUTMOSI	THÚT MÔ SI
THPH	TRUNG HỌC PHỔ THÔNG
THPT	TRUNG HỌC PHỔ THÔNG
THPTDL	TRUNG HỌC PHỔ THÔNG DÂN LẬP
THQCT	THỰC HÀNH QUYỀN CÔNG TỐ
THQG	THƯƠNG HIỆU QUỐC GIA
THRACE	THƠ RA XỜ
THSCT	TÔN HOA SEN CẦN THƠ
THSP	THỰC HÀNH SƯ PHẠM
THTH	TIẾNG HÁT TRUYỀN HÌNH
THTK	THỰC HÀNH TIẾT KIỆM
THTM	TẠO HÌNH THẨM MỸ
THTT	TRUYỀN HÌNH TRỰC TIẾP
THUCYDIDE	TUY XI ĐÍT
THUNERSE	TU NE XỜ
THURAM	THU RAM
THUTMOSE	THÚT MÔ XỜ
THV	THƯƠNG HIỆU VIỆT
THVN	TRUYỀN HÌNH VIỆT NAM
THVP	TIN HỌC VĂN PHÒNG
THYT	TRUNG HỌC Y TẾ
THYTLA	TRUNG HỌC Y TẾ LONG AN
TIAGO	TI A GÔ
TIBESTI	TI BÉT TI
TIBRE	TI BỜ RƠ
TICINO	TI CHI NÔ
TIFFANY	TI PHAN NY
TIFFENEAU	TI PHƠ NÔ
TIGER	THAI GƠ
TIGRANE	TI GỜ RAN
TIGRE	TI GỜ RƠ
TIHAMA	TI HA MA
TIKAL	TI CAN
TIKSI	TÍCH XI
TILAK	TI LẮC
TIMBERLAKE	THIM BƠ LÁCH
TIME	THEM
TIMES	THAM
TIMMERMANS	TIM MÉC MAN
TIMOR	TI MO
TIMOSHENKO	TI MÔ SEN CÔ
TIMUR	TI MUA
TINA	CÔ LÔ RA ĐÔ
TINBERGEN	TIN BÉC GHEN
TING	TINH
TINIAN	TI NI AN
TINNA	TI NA
TINTIN	TIN TIN
TINTORETTO	TIN TÔ RÉT TÔ
TIRANA	TI RA NA
TIRICH	TI RÍCH
TIRRENO	TI RÊ NÔ
TIRSO	TIA XÔ
TISELIUS	TI XÊ LI ÚT
TISZA	TI XA
TITAN	TI TAN
TITANIC	TI TA NÍT
TITE	TI TƠ
TITICACA	TI TI CA CA
TITIEN	TI TI EN
TITO	TI TÔ
TITUS	TI TÚT
